id,store_url,domain,platform,source
81,https://justhoodies.myshopify.com,justhoodies.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
82,https://nonfiction.myshopify.com,nonfiction.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
83,https://bodyvisual.myshopify.com,bodyvisual.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
84,https://volleum.myshopify.com,volleum.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
85,https://buyit.myshopify.com,buyit.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
86,https://lorenz.myshopify.com,lorenz.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
87,https://thrum.myshopify.com,thrum.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
88,https://redmoonclassic.myshopify.com,redmoonclassic.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
89,https://visualvandal.myshopify.com,visualvandal.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
90,https://commonscents.myshopify.com,commonscents.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
91,https://mars.myshopify.com,mars.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
92,https://acme.myshopify.com,acme.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
93,https://calidad3.myshopify.com,calidad3.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
94,https://umbrella.myshopify.com,umbrella.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
95,https://attiksystem.myshopify.com,attiksystem.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
96,https://thebazaar.myshopify.com,thebazaar.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
97,https://hdkaxis.myshopify.com,hdkaxis.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
98,https://chardy.myshopify.com,chardy.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
99,https://smart.myshopify.com,smart.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
100,https://ubergirl.myshopify.com,ubergirl.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
101,https://apedog.myshopify.com,apedog.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
102,https://tristan.myshopify.com,tristan.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
103,https://negativehorizon.myshopify.com,negativehorizon.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
104,https://kusor.myshopify.com,kusor.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
105,https://jfig.myshopify.com,jfig.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
